,pid,lab,ml_e_p,ap_e_p,dv_e_p,ml_t_p,ap_t_p,dv_t_p,phi_p,theta_p,depth_p,ml_e_m,ap_e_m,dv_e_m,ml_t_m,ap_t_m,dv_t_m,phi_m,theta_m,depth_m,ml_e_e,ap_e_e,dv_e_e,ml_t_e,ap_t_e,dv_t_e,phi_e,theta_e,depth_e
311,ae2b9f1b-ebe3-4b56-8957-31982186e6ec,churchlandlab,4458.000,4480.037,1059.941,5493.276,4480.037,5118.453,180.000,15.000,4188.474,4413.000,4322.815,488.618,5545.618,4322.815,4928.731,180.000,15.000,4582.295,4325.000,4325.000,1075.000,5223.769,5166.397,4768.012,136.888,18.437,3892.823
312,ea931b15-6214-4b80-8d88-7acbbe071bc0,cortexlab,7033.000,9079.853,409.731,5997.724,9079.853,4468.243,0.000,15.000,4188.474,6888.600,8941.122,332.000,6054.620,8941.122,5300.210,0.000,10.000,5037.721,7650.000,9050.000,425.000,7122.514,8665.686,4283.180,-36.076,9.601,3912.990
313,9bd71ac6-c455-41f3-8c56-59987a649ac4,zadorlab,4926.000,3790.064,1210.151,3960.863,3790.064,6959.691,0.000,10.000,5829.982,4765.000,3777.093,1470.025,3890.838,3777.093,6677.610,0.000,10.000,5280.445,4400.000,2650.000,1725.000,5210.117,3030.680,5539.360,154.831,13.206,3917.977
314,e22d047c-5beb-4e5b-9a3d-53b637743856,zadorlab,4939.000,2640.110,1735.361,5974.276,2640.110,5793.873,180.000,15.000,4188.474,4948.500,2663.937,1648.912,5983.621,2663.937,5706.815,180.000,15.000,4187.846,4475.000,3950.000,1175.000,3348.223,4322.327,6970.524,18.285,11.572,5915.772
315,fb0de39b-c750-4adc-af18-12bf8a22ed41,danlab,3435.000,9309.844,610.361,2486.707,9309.844,6259.558,0.000,10.000,5728.235,3435.000,9309.844,610.361,2566.759,9309.844,5782.671,0.000,10.000,5244.676,3400.000,9450.000,650.000,2678.463,9700.589,5323.059,19.152,9.283,4735.070
316,a6fe3779-2b77-4b66-a625-a6078720e412,danlab,3496.000,7699.908,460.151,4531.276,7699.908,4518.663,180.000,15.000,4188.474,3496.000,7699.908,460.151,4531.276,7699.908,4518.663,180.000,15.000,4188.474,3400.000,7850.000,450.000,3754.865,8010.623,5408.872,155.647,4.491,4974.147
317,b375a0ee-4c5a-4a53-9cea-d753f206e5c5,danlab,4439.000,5400.000,735.361,5474.276,5400.000,4793.873,180.000,15.000,4188.474,4439.000,5400.000,735.361,5474.276,5400.000,4793.873,180.000,15.000,4188.474,4475.000,5375.000,700.000,5309.925,5893.235,3611.581,148.172,18.650,3072.942
318,1ef94d02-d51a-491f-a313-1bb5238d6b8b,danlab,4418.000,4250.046,1110.361,3424.906,4250.046,7026.449,0.000,10.000,5998.861,4418.000,4250.046,1110.361,3424.906,4250.046,7026.449,0.000,10.000,5998.861,4575.000,3750.000,1225.000,3587.700,4493.487,7045.105,36.982,11.989,5949.887
319,99993a2b-588e-4c0c-bfec-e3dfb4f61534,angelakilab,3996.000,3100.092,1710.151,5031.276,3100.092,5768.663,180.000,15.000,4188.474,4031.500,3456.026,1796.916,4939.774,3456.026,5357.550,180.000,15.000,3674.653,3550.000,3250.000,1800.000,4343.040,2849.232,5906.534,-153.190,12.209,4201.565
320,869bac48-ad1b-46b8-be00-cf6b26aea40e,mrsicflogellab,6039.000,10919.779,1035.782,7074.276,10919.779,5094.293,180.000,15.000,4188.474,6028.000,10887.580,2023.176,7115.040,10887.580,6284.614,180.000,15.000,4397.898,6150.000,11950.000,1075.000,7233.989,12384.406,5576.858,158.162,14.542,4650.857
